epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,43.7422,1.28017,1.36649,1.10217,0.76592,0.45151,0.54348,0.32244,1.40861,1.30454,1.19525,0.000311,0.000311,0.000311
44,44.747,1.30365,1.31932,1.11889,0.74228,0.54244,0.53517,0.29798,1.43923,1.30485,1.22935,0.0003065,0.0003065,0.0003065
45,45.7473,1.2894,1.38154,1.09736,0.73005,0.53857,0.53069,0.29509,1.43913,1.33513,1.23605,0.000302,0.000302,0.000302
46,46.7666,1.26489,1.35357,1.11129,0.7089,0.53043,0.54464,0.31873,1.42845,1.33401,1.22947,0.0002975,0.0002975,0.0002975
47,47.7868,1.28084,1.32502,1.09904,0.64031,0.50322,0.54321,0.3268,1.42655,1.32241,1.22348,0.000293,0.000293,0.000293
48,48.7901,1.26221,1.32744,1.10146,0.61528,0.49823,0.50963,0.30802,1.42243,1.28415,1.21466,0.0002885,0.0002885,0.0002885
49,49.787,1.34416,1.34681,1.11753,0.60173,0.51357,0.51097,0.30764,1.42547,1.25858,1.21674,0.000284,0.000284,0.000284
50,50.7694,1.28445,1.28433,1.0986,0.60612,0.52786,0.53133,0.31879,1.43687,1.2602,1.21638,0.0002795,0.0002795,0.0002795
51,51.7595,1.28772,1.22592,1.0728,0.62639,0.48583,0.5335,0.32289,1.43545,1.26666,1.21458,0.000275,0.000275,0.000275
52,52.7759,1.24387,1.28764,1.08051,0.82774,0.38508,0.51449,0.30122,1.4438,1.28031,1.22257,0.0002705,0.0002705,0.0002705
53,53.7672,1.27791,1.29145,1.08695,0.82022,0.38266,0.52991,0.30416,1.43448,1.29248,1.22703,0.000266,0.000266,0.000266
54,54.7636,1.2095,1.25128,1.06212,0.5587,0.55045,0.5758,0.33059,1.43051,1.28987,1.22716,0.0002615,0.0002615,0.0002615
55,55.7458,1.28084,1.32951,1.08889,0.63971,0.52701,0.58118,0.32879,1.42405,1.27033,1.22759,0.000257,0.000257,0.000257
56,56.7635,1.27936,1.27054,1.07027,0.79618,0.49662,0.58114,0.34567,1.39943,1.23769,1.21855,0.0002525,0.0002525,0.0002525
57,57.7759,1.22542,1.24503,1.07664,0.78185,0.49755,0.57746,0.34367,1.40624,1.2427,1.21895,0.000248,0.000248,0.000248
58,58.7558,1.26456,1.21755,1.0757,0.81188,0.46338,0.57494,0.33668,1.41145,1.2423,1.22163,0.0002435,0.0002435,0.0002435
59,59.7561,1.23122,1.22661,1.05999,0.82945,0.47322,0.57542,0.33661,1.41568,1.24593,1.22538,0.000239,0.000239,0.000239
60,60.7668,1.22917,1.25903,1.07179,0.781,0.50994,0.58445,0.3377,1.41797,1.24971,1.22345,0.0002345,0.0002345,0.0002345
61,61.7713,1.20807,1.22659,1.04572,0.75905,0.51536,0.58908,0.3406,1.40506,1.23551,1.21946,0.00023,0.00023,0.00023
62,62.7658,1.19693,1.18592,1.05569,0.73257,0.52909,0.58747,0.35033,1.38564,1.22888,1.20928,0.0002255,0.0002255,0.0002255
63,63.7687,1.22951,1.20795,1.06795,0.72303,0.53368,0.59411,0.35358,1.37656,1.22173,1.20762,0.000221,0.000221,0.000221
64,64.7895,1.19508,1.18976,1.05442,0.75215,0.51785,0.60103,0.34817,1.37178,1.19759,1.19869,0.0002165,0.0002165,0.0002165
65,65.7599,1.2179,1.19521,1.06705,0.77729,0.51188,0.6049,0.348,1.36778,1.19008,1.19953,0.000212,0.000212,0.000212
66,66.7479,1.17031,1.21318,1.03921,0.79229,0.50713,0.60629,0.35167,1.36898,1.17804,1.20044,0.0002075,0.0002075,0.0002075
67,67.7437,1.23699,1.18158,1.07763,0.8006,0.49569,0.60513,0.35265,1.37846,1.17523,1.20428,0.000203,0.000203,0.000203
68,68.7446,1.19333,1.18286,1.07272,0.75075,0.51176,0.61314,0.35985,1.38644,1.1971,1.20862,0.0001985,0.0001985,0.0001985
69,69.7378,1.20904,1.19285,1.06169,0.7278,0.52818,0.62154,0.35843,1.38947,1.2159,1.2117,0.000194,0.000194,0.000194
70,70.7178,1.24544,1.19771,1.05983,0.68653,0.53606,0.61724,0.34781,1.39087,1.22147,1.21387,0.0001895,0.0001895,0.0001895
71,71.6957,1.19939,1.15323,1.05808,0.67214,0.55409,0.58182,0.32662,1.3898,1.22284,1.21112,0.000185,0.000185,0.000185
72,72.7101,1.17944,1.12501,1.04174,0.67772,0.53812,0.59193,0.34245,1.3846,1.22954,1.20508,0.0001805,0.0001805,0.0001805
73,73.7314,1.19802,1.19277,1.07708,0.67622,0.53982,0.62913,0.36374,1.38105,1.23721,1.19773,0.000176,0.000176,0.000176
